Code, Description, CodeType, Deprecated, Created, Modified, 
232037, Aythya ferina, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
232039, Mergellus albellus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
232041, Polysticta stelleri, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
232042, Tadorna tadorna, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
232052, Larus michahellis, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
232054, Fulica atra, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
254529, Myoxocephalus quadricornis, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
272030, Atherina presbyter, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
272392, Malacocephalus laevis, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
273571, Symphodus melops, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
274304, Microchirus variegatus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
274878, Chelidonichthys spinosus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
274967, Argyropelecus olfersii, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
293632, Mullus barbatus barbatus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
367297, Raja brachyura, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
398381, Coelorinchus caelorhincus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
416357, Alosa agone, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
416678, Platalea leucorodia, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
445503, Puffinus mauretanicus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
465358, Chroicocephalus ridibundus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
567449, Hydrocoloeus minutus, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
567480, Sternula albifrons, SpecWoRMS, False, 2016-05-26, 2016-05-26, 
